config,rate,ci_low,ci_high,verified,n
direct,0.005747126436781609,0.0010152303461971126,0.031831210062251196,1,174
direct_at4,0.011494252873563218,0.003157819159172318,0.04093459287243357,2,174
rag,0.017241379310344827,0.0058806608379346256,0.049457722816828836,3,174
direct_prompt_b,0.028735632183908046,0.012335289746966486,0.06549503715411213,5,174
full_no_retrieval,0.05172413793103448,0.027447779413209576,0.09536643398049935,9,174
repair,0.06321839080459771,0.03566345099561542,0.10964270564440869,11,174
repair_prompt_b,0.06896551724137931,0.039888087932065774,0.1166640403311159,12,174
full,0.07471264367816093,0.044179472631162085,0.12361862725517717,13,174
template,0.26436781609195403,0.20444442675824406,0.33447073669229527,46,174
