class,n,next_round_verified,rate
hallucinated_theorem,576,0,0.0
checker_rejected,8,0,0.0
unresolved_metavariable,13,0,0.0
bad_induction,10,0,0.0
instance_resolution_failure,78,0,0.0
timeout,5,0,0.0
incorrect_rewrite,279,1,0.0035842293906810036
syntax_error,1000,4,0.004
wrong_tactic,725,3,0.004137931034482759
other,273,2,0.007326007326007326
type_mismatch,316,3,0.00949367088607595
forbidden,700,7,0.01
wrong_namespace,171,3,0.017543859649122806
lean3_syntax,762,23,0.030183727034120734
valid_but_wrong,59,7,0.11864406779661017
