class,count,share
type_mismatch,9,0.3103448275862069
valid_but_wrong,5,0.1724137931034483
lean3_syntax,5,0.1724137931034483
wrong_tactic,3,0.10344827586206896
incorrect_rewrite,3,0.10344827586206896
wrong_namespace,3,0.10344827586206896
syntax_error,1,0.034482758620689655
